Name,Date,points,Weight,Body Weight
Tevin Duncan,06/10/2023,107.28,805 kg,89.6 kg
Sol Na,05/20/2023,107.26,772.5 kg,82.5 kg
Kai Zhao,11/06/2021,107.23,817.5 kg,92.5 kg
Sean Moser,03/02/2019,107.18,817.5 kg,92.6 kg
Hayden Willis,04/13/2023,107.14,795 kg,87.6 kg
Taylor Casteel,04/13/2023,107.11,843 kg,98.8 kg
Knute Douglas,11/15/2020,107.10,927.5 kg,83 kg
Charvis Paia,11/20/2021,106.97,772.5 kg,83 kg
Jacob Ramos,06/08/2022,106.97,732.5 kg,74.8 kg
Amir Ganiev,10/29/2022,106.87,805 kg,90.3 kg
Uthdoung pros,03/06/2022,106.84,765 kg,81.6 kg
Trevor Bowlus,02/26/2022,106.81,765 kg,81.6 kg
Vasil Gushterov,03/14/2015,106.80,865 kg,105 kg
Trey Rikard,06/03/2023,106.80,802.5 kg,89.8 kg
Nico Chiodo,10/30/2022,106.79,800 kg,89.3 kg
Deon Johnston,06/08/2022,106.78,730 kg,74.5 kg
Preston Savoy Jr,10/15/2022,106.77,862.5 kg,104.4 kg
Charlie Yeng,06/08/2022,106.75,682.5 kg,65.6 kg
Christian Habihirwe,08/10/2019,106.70,815 kg,92.9 kg
Matthew Treherne,02/09/2019,106.68,815 kg,92.9 kg
Nicholas Guidice,11/07/2020,106.63,850 kg,101.5 kg
Jerkerion simmons,05/13/2023,106.60,762.5 kg,81.4 kg
Dallas Bey,03/04/2023,106.58,727.5 kg,74.3 kg
Kalil Zaky,06/03/2023,106.57,840 kg,99.1 kg
Joseph Hardy,10/13/2016,106.48,845 kg,100.5 kg
Matthew Yeung,05/13/2023,106.42,765 kg,82.2 kg
Sean Collins,07/27/2019,106.40,762.5 kg,81.7 kg
David Shelton,06/14/2021,106.38,767.5 kg,82.8 kg
Gage Carreon,03/06/2022,106.37,755 kg,80.2 kg
Matt Sohmer,10/11/2018,106.37,910 kg,118.5 kg
caden schoffelman,06/03/2023,106.36,795 kg,88.9 kg
Shane Nutt,04/08/2021,106.33,795 kg,88.9 kg
Daquan Studstill,05/20/2023,106.32,832.5 kg,97.8 kg
Benjamin Rice,03/02/2019,106.32,852.5 kg,102.8 kg
Perry Ellis,06/10/2016,106.31,912.5 kg,119.4 kg
Grant Ivarson,04/13/2023,106.27,864 kg,105.9 kg
Sean Mills,11/05/2022,106.24,872.5 kg,108.2 kg
Ian Bell,06/14/2021,106.18,1036 kg,104.4 kg
Sindell Thomas,01/07/2023,106.07,762.5 kg,82.2 kg
Lamar Rhodes,09/24/2022,106.06,780 kg,86 kg
Eric Gardner,02/19/2022,105.96,802.5 kg,91.3 kg
Brandon Dudley,01/07/2023,105.96,875 kg,109.5 kg
Devin Williams,03/04/2023,105.93,902.5 kg,117.4 kg
TraShon Hightower,12/04/2021,105.91,750 kg,79.8 kg
Xavier Bailey,05/20/2023,105.88,777.5 kg,85.8 kg
Lorenzo Tomasiello,04/22/2023,105.84,790 kg,88.6 kg
Todd Talford,06/03/2023,105.82,797.5 kg,90.4 kg
Enrique Lugo,02/26/2022,105.81,920 kg,123 kg
Benjamin Collins,03/04/2023,105.77,787.5 kg,88.2 kg
Brett Peach,04/13/2023,105.74,756 kg,81.3 kg
James Wilson,06/09/2018,105.74,810 kg,93.4 kg
Brendan Baugher,03/04/2023,105.68,790 kg,88.9 kg
Jonnie Candito,03/07/2020,105.66,760 kg,82.3 kg
Blake Atwell,06/14/2021,105.59,900 kg,117.5 kg
Joshua Nougaisse,06/26/2021,105.48,805 kg,92.7 kg
Clay Kuhlemeier,06/03/2023,105.44,750 kg,80.5 kg
Ryan Baylark,12/01/2018,105.40,760 kg,82.7 kg
Nathan Walton,02/04/2017,105.34,717.5 kg,74 kg
Garrett Bailey,02/26/2017,105.34,827.5 kg,98.4 kg
Michael Davis,10/11/2018,105.32,850 kg,104.2 kg
Mitchell Deskis,05/12/2018,105.31,757.5 kg,82.3 kg
Patrick Posten,03/08/2020,105.29,800 kg,91.9 kg
mason Cabney,05/18/2019,105.26,752.5 kg,81.3 kg
Maxavier Jean-Philippe,06/15/2019,105.20,847.5 kg,103.8 kg
Christopher Rivera,09/03/2022,105.19,755 kg,82 kg
Henry Kuti,04/13/2023,105.16,750 kg,80.9 kg
Austin Nikolai,03/04/2023,105.08,675 kg,66.2 kg
Carson Allen,08/04/2019,105.06,755 kg,82.2 kg
Yehia Aboelnaga,02/12/2022,105.04,857.5 kg,106.8 kg
Gregory Johnson,02/25/2018,104.98,840 kg,102.3 kg
Chris Dunn,02/04/2017,104.98,797.5 kg,91.8 kg
Charles Auta,10/16/2019,104.85,750 kg,81.4 kg
Thomas Haubold,07/25/2020,104.83,755 kg,82.5 kg
Demetrius Smith,01/21/2023,104.82,785 kg,89.2 kg
Everett Clark,05/01/2021,104.80,790 kg,90.4 kg
Garry Mendez,02/04/2023,104.72,782.5 kg,88.8 kg
Michael Coladipietro,07/11/2020,104.71,712.5 kg,73.9 kg
Rodrigo Manzo,10/16/2019,104.68,670 kg,65.7 kg
Ethan Marshall,05/27/2023,104.65,780 kg,88.4 kg
Andrew Pears,02/22/2014,104.61,810 kg,95.5 kg
Joshua Broussard,11/21/2020,104.59,755 kg,82.9 kg
David Moore,04/17/2021,104.59,897.5 kg,119.3 kg
Ken Nguyen,03/26/2022,104.54,712.5 kg,74.1 kg
Derrington Wright,01/17/2016,104.51,780.5 kg,88.7 kg
Jalen Faulk,10/15/2022,104.50,822.5 kg,98.8 kg
Rob Ali,02/15/2020,104.47,785 kg,89.8 kg
Jefferson Shue,02/04/2023,104.43,750 kg,82.1 kg
Anthony Harris,10/13/2016,104.41,895 kg,119 kg
Aaron Terry,02/25/2023,104.40,912.5 kg,124.5 kg
Nico Flores,03/11/2023,104.39,750 kg,82.1 kg
Nathen Pangaldan,04/22/2023,104.38,712.5 kg,74.3 kg
Jacob Staley,12/03/2022,104.37,747.5 kg,81.6 kg
Dominic Rowden,10/15/2022,104.36,765 kg,85.5 kg
CJ Shuford,12/10/2022,104.35,675 kg,67.1 kg
Camden Wilson,11/05/2022,104.33,855 kg,107.7 kg
Brandon Jones,06/03/2023,104.33,780 kg,88.9 kg
Aubrey Hogan,09/11/2021,104.31,707.5 kg,73.4 kg
Dwight Burns,03/18/2023,104.28,782.5 kg,89.6 kg
Michael Davis,03/03/2018,104.19,842.5 kg,104.6 kg
Kevin Paul,02/11/2023,104.15,817.5 kg,98.3 kg
Seth Dasuki,03/26/2022,104.15,745.5 kg,81.5 kg
Preston Turner,03/04/2017,104.11,892.5 kg,119 kg
Kyle Petersen,03/26/2022,104.10,712.5 kg,74.7 kg
Kaleb Miller,04/29/2023,104.10,822.5 kg,99.6 kg
Chad Schroeder,10/16/2019,104.06,822.5 kg,99.7 kg
Marvin Spady,02/25/2023,104.05,817.5 kg,98.5 kg
Carter Hoffman,04/13/2023,103.96,742.5 kg,81.2 kg
Luke Mccain,03/19/2023,103.94,670 kg,66.6 kg
Jason Bongard,12/11/2021,103.92,792.5 kg,92.6 kg
Cody Jaeger,10/15/2022,103.92,747.5 kg,82.3 kg
Antonino Fazio,10/29/2022,103.92,747.5 kg,82.3 kg
Kyle Dawson,03/30/2022,103.90,745 kg,81.8 kg
Scott Thurlow,01/22/2022,103.89,747.5 kg,82.4 kg
Joshua Hall,04/13/2023,103.88,775 kg,88.5 kg
Thomas Elgort,12/14/2019,103.87,707.5 kg,74 kg
Tristan Nazelrod,03/07/2020,103.87,892.5 kg,119.7 kg
Juan Rios,02/26/2022,103.87,710 kg,74.5 kg
Ben Lujan,04/13/2023,103.86,777.5 kg,89.1 kg
Yung Huang,06/26/2021,103.85,747.5 kg,82.4 kg
Stephen Cascioli,03/04/2017,103.85,660.5 kg,64.9 kg
Austin Schrader,05/05/2018,103.84,787.5 kg,91.5 kg
Thang Ngo,02/12/2022,103.77,775 kg,88.7 kg
