Name,Date,points,Weight,Body Weight
Thomas Anderson,06/04/2022,100.26,750 kg,89 kg
Matthew Conner,12/14/2019,100.25,680 kg,73.4 kg
Jared Martin,07/19/2013,100.24,855 kg,117.7 kg
Drew Thompson,03/02/2019,100.24,720 kg,82.1 kg
Carlos Santoliquido,10/16/2021,100.23,810 kg,104.5 kg
Terry Ahlander,11/06/2021,100.23,762.5 kg,92.1 kg
Josh Garrison,04/30/2016,100.20,920 kg,140.3 kg
Ronny Hiraldo,06/25/2022,100.19,720 kg,82.1 kg
Shane Moat,06/03/2017,100.19,805 kg,103.2 kg
Shane Brady,06/14/2021,100.18,922.5 kg,92.8 kg
Jordon Spence,04/13/2023,100.17,825 kg,108.9 kg
Joe Morrow,03/19/2016,100.14,622.5 kg,62.2 kg
Jacob Waltzer,04/13/2023,100.12,685 kg,74.6 kg
C.J. Iliff,02/09/2019,100.12,857.5 kg,118.8 kg
Damarrio Holloway,12/12/2015,100.12,747.5 kg,66 kg
Nicolas Philippi,02/18/2023,100.12,825 kg,109 kg
Fabion Moffett,11/05/2022,100.08,827.5 kg,109.8 kg
Vashon Perryman,08/03/2012,100.08,685 kg,74.7 kg
Nicholas Esposito,03/16/2019,100.07,710 kg,80.1 kg
Coy Jorden,01/20/2019,100.07,722.5 kg,82.9 kg
William Hemmen,04/29/2023,100.07,825 kg,109.1 kg
Michael Condo,04/01/2017,100.06,717.5 kg,81.8 kg
Liam Newell,03/26/2022,100.06,745 kg,88.2 kg
Raymond Cruz,10/26/2019,100.06,717.5 kg,81.8 kg
Jordan Beverly,05/21/2022,100.03,780 kg,96.9 kg
Henry Amadi,05/27/2023,100.01,747.5 kg,88.9 kg
Vernon Williams,05/05/2018,100.01,722.5 kg,83 kg
Christian Petrilli,04/08/2021,100.01,722.5 kg,83 kg
Matthew Hence,07/27/2019,100.00,760 kg,91.9 kg
Michael Lear,12/12/2020,100.00,760 kg,91.9 kg
Thomas Redd,01/29/2022,100.00,770 kg,94.4 kg
Timothy Thebodeau,07/09/2021,99.99,717.5 kg,81.9 kg
Richard Panganiban,03/10/2018,99.99,682.5 kg,74.3 kg
Sion Farley-Thompson,04/13/2023,99.95,715 kg,81.4 kg
Winson Tom,04/08/2021,99.95,760 kg,92 kg
Cole Garcia,04/13/2023,99.91,785 kg,98.5 kg
Robert Kelly,03/06/2021,99.89,715 kg,81.5 kg
Zachary Broderick,05/23/2021,99.88,720 kg,82.7 kg
Lucas Young,03/18/2023,99.87,685 kg,75 kg
Isaac Whistler,06/14/2021,99.86,857.5 kg,119.5 kg
Nathan Barna,04/02/2022,99.84,745 kg,88.6 kg
Dominic Melvin,04/16/2022,99.84,915 kg,139.7 kg
Matt Foddrill,02/05/2023,99.83,680 kg,74 kg
Hagen Henderson,04/09/2022,99.82,907.5 kg,136.9 kg
Joseph Franzo,03/07/2020,99.80,852.5 kg,118.1 kg
William Burrell,02/03/2018,99.80,907.5 kg,137 kg
Marlin Outley,04/17/2021,99.80,850 kg,117.3 kg
Samuel Bernstein,08/24/2019,99.79,775 kg,96.1 kg
Romy Jay Gallanosa,06/03/2023,99.79,645 kg,67 kg
Kevin Mays,10/10/2017,99.77,805 kg,104.2 kg
DeAndre Price,04/22/2023,99.76,850 kg,117.4 kg
Morrow ,12/06/2014,99.75,717.5 kg,82.3 kg
Kole Metts,04/12/2019,99.74,602.5 kg,59 kg
Joseph Rodriguez,06/08/2022,99.74,667.5 kg,71.5 kg
Jonathan Bradfield,06/17/2018,99.73,857.5 kg,82 kg
Anthony Parrella,07/27/2019,99.73,757.5 kg,91.8 kg
Jordan Berke,06/13/2015,99.72,716 kg,82 kg
Huy Hathuc,04/13/2023,99.72,640.5 kg,66.2 kg
Tyler Stanio,06/10/2023,99.71,682.5 kg,74.7 kg
Hamza Anwar,04/19/2018,99.71,671 kg,72.3 kg
Alec Buob,01/21/2023,99.71,750 kg,90 kg
Ricky Estes,05/20/2023,99.70,807.5 kg,105 kg
Jorge Diaz,10/09/2022,99.68,747.5 kg,89.5 kg
Marc Forn,02/25/2023,99.65,740 kg,87.7 kg
Walker Bradshaw,03/04/2017,99.65,805 kg,104.4 kg
Evan Dunne,05/29/2022,99.65,715 kg,81.9 kg
KC Bell,04/13/2023,99.63,712.5 kg,81.4 kg
Devin Tran,12/18/2022,99.62,782.5 kg,98.4 kg
Nick Longo,07/10/2021,99.61,802.5 kg,103.8 kg
Nick VanNoord,05/06/2023,99.61,672.5 kg,72.8 kg
Mark Beltran,06/08/2022,99.60,642.5 kg,66.7 kg
Braydon Ward,04/24/2021,99.59,672.5 kg,72.8 kg
Brandon Ragoonath,10/27/2018,99.59,910 kg,91.4 kg
David Lupac,03/03/2018,99.58,1100 kg,145.9 kg
Seth Ruff,12/03/2022,99.55,837.5 kg,114.1 kg
Joel Garza,04/08/2021,99.54,712.5 kg,81.5 kg
Brandon Smith,02/10/2019,99.53,760 kg,92.8 kg
Jayden Edwards,04/29/2023,99.52,817.5 kg,108.3 kg
Guillermo Rodriguez,05/15/2021,99.52,675 kg,73.4 kg
Alan Shoykhet,11/13/2021,99.51,820 kg,109 kg
Ronald Medrano,10/16/2019,99.50,717.5 kg,82.7 kg
Eleuterio Montalvo,03/30/2023,99.50,868.5 kg,124.1 kg
Brendan Parr,03/25/2023,99.47,710 kg,81.1 kg
Kaiman Chau,02/25/2023,99.46,702.5 kg,79.4 kg
Camden Clayton,06/26/2015,99.46,757.5 kg,92.3 kg
Ryan Sanders,08/28/2021,99.46,757.5 kg,92.3 kg
Anthony Pinedo-Morales,05/13/2023,99.46,715 kg,82.2 kg
Brian Marmolejo,02/26/2022,99.45,675 kg,73.5 kg
Elijah Williams,03/26/2022,99.43,677.5 kg,74.1 kg
Albert Willingham,08/10/2019,99.41,825 kg,110.7 kg
Chris A Jones,07/11/2015,99.40,860 kg,121.6 kg
Oonagh Aatnite,02/25/2023,99.39,737.5 kg,87.6 kg
Eddy Tamayo Garcia,12/12/2021,99.39,772.5 kg,96.3 kg
Daniel Fuentes,02/04/2023,99.37,740 kg,88.2 kg
David Weisman,04/22/2023,99.37,715 kg,82.4 kg
Stiven Sandoval Esparza,08/27/2022,99.36,712.5 kg,81.8 kg
Alexander Rodriguez,10/10/2017,99.36,712.5 kg,81.8 kg
Logan Fink,04/07/2018,99.36,712.5 kg,81.8 kg
Dalton McIntire,12/07/2019,99.35,747.5 kg,90 kg
Matthew Hunter,11/06/2021,99.32,857.5 kg,121 kg
Jordan Dunn,01/01/2013,99.32,800 kg,73.8 kg
Kristopher Hunt,10/24/2020,99.31,757.5 kg,92.6 kg
Sean Ambrocio,10/16/2019,99.31,635 kg,65.6 kg
Curtis Allen,12/09/2016,99.30,750 kg,90.8 kg
Keyon Williams,05/28/2023,99.28,715 kg,82.5 kg
Nathan McPeters,03/18/2023,99.26,785 kg,99.8 kg
James Cole,07/17/2021,99.26,800 kg,103.9 kg
Zaw Thiha,10/15/2022,99.25,642.5 kg,67.2 kg
Eric Jelen,05/06/2023,99.23,710 kg,81.5 kg
David Woo,10/11/2018,99.21,802.5 kg,104.7 kg
Scott Schwartz,12/15/2018,99.20,757.5 kg,92.8 kg
John Rivas,04/05/2014,99.19,812.5 kg,107.6 kg
Alexandre Ouelllet,11/18/2017,99.18,762.5 kg,94.1 kg
Dalton Richardson,11/15/2020,99.18,785 kg,100 kg
Leslie Kiang,06/08/2019,99.17,802.5 kg,104.8 kg
Alexander McQuillen,10/11/2018,99.17,675 kg,73.9 kg
Tommy Hawks,03/03/2018,99.15,937.5 kg,151.4 kg
Liam Belcher,12/03/2022,99.15,745 kg,89.8 kg
Xuchill Laput,04/02/2022,99.13,670 kg,72.9 kg
Nabil Lahlou,04/03/2022,99.12,667.5 kg,72.4 kg
Thomas Magarelli,09/25/2022,99.10,745 kg,89.9 kg
Michael DeRouen,06/09/2018,99.10,675 kg,74 kg
Joshua Espinosa,05/20/2023,99.09,782.5 kg,99.5 kg
Ryan Schroer,06/17/2023,99.07,665 kg,72 kg
Travis Napier,03/18/2023,99.06,807.5 kg,106.5 kg
Gabe Cuadra,04/13/2023,99.06,740 kg,88.8 kg
Ceyer Wakilpoor,10/11/2018,99.04,715 kg,82.9 kg
Stratford Washington,08/10/2019,99.04,797.5 kg,103.7 kg
Joshua Peardot,10/10/2017,99.04,795 kg,103 kg
Nicholas Guarino,01/07/2023,99.01,710 kg,81.8 kg
Ricky Ortiz,04/29/2023,98.98,640 kg,67 kg
Brenn McKee,03/18/2023,98.98,742.5 kg,89.5 kg
Andre Sigure,03/26/2016,98.96,817.5 kg,109.6 kg
John Brookins,03/12/2016,98.95,723.5 kg,85 kg
Ryan Doris,03/05/2016,98.95,750 kg,91.4 kg
Colton Slaughter,12/05/2020,98.94,755 kg,92.7 kg
Russell Orhii,02/20/2016,98.93,712.5 kg,82.5 kg
Colin Ripley,10/10/2017,98.92,797.5 kg,104 kg
MyeongJe Lee,04/29/2023,98.92,730 kg,86.6 kg
Adrian Knox,03/04/2017,98.92,672.5 kg,73.7 kg
Neitik Patel,01/29/2022,98.92,740 kg,89 kg
Chase Ishmael,07/16/2022,98.90,775 kg,97.9 kg
BRENDAN GREENE,07/16/2016,98.90,750 kg,91.5 kg
James Hoffman,05/20/2023,98.89,900 kg,137.3 kg
Joel Patera,11/12/2022,98.89,730 kg,86.7 kg
Jeremy Orme,04/13/2023,98.88,817.5 kg,109.8 kg
Etringer ,12/06/2014,98.87,672.5 kg,73.8 kg
Chul Ki Kim,06/03/2023,98.87,705 kg,80.9 kg
Kevin Woods,11/02/2019,98.85,750 kg,91.6 kg
Isaiah Grice,05/04/2019,98.81,847.5 kg,119.2 kg
Trevor Thomas Jr,03/07/2020,98.80,955 kg,160.8 kg
Garrett Lockwood,04/13/2023,98.78,667.5 kg,72.9 kg
Jaider Espinoza,03/22/2020,98.78,855 kg,82.9 kg
Max Runkle,11/19/2022,98.78,740 kg,89.3 kg
Ej Thomas,12/12/2020,98.78,747.5 kg,91.1 kg
Louis Kumbalek,01/19/2019,98.76,702.5 kg,80.5 kg
Sebastian Ehmann,04/16/2022,98.74,815 kg,109.4 kg
Michael West,10/15/2022,98.72,745 kg,90.6 kg
Matthew Swanson,06/08/2022,98.72,740 kg,89.4 kg
hugo mendoza,06/03/2023,98.71,810 kg,108 kg
William Ivey,10/30/2021,98.70,710 kg,82.3 kg
Trevor Woodman,03/06/2022,98.70,707.5 kg,81.7 kg
Blayne Kildahl,05/27/2023,98.70,737.5 kg,88.8 kg
Lucas Sison,12/10/2022,98.69,672.5 kg,74.1 kg
Joseph Butterfield,10/29/2022,98.69,707.5 kg,81.8 kg
Ryder Reed,05/27/2023,98.69,732.5 kg,87.6 kg
Dorian Parris,11/18/2017,98.68,675 kg,74.6 kg
Thien Chu,10/30/2021,98.68,632.5 kg,65.9 kg
David Watson,08/05/2017,98.67,782.5 kg,100.4 kg
Deunte Levine,04/12/2019,98.66,790 kg,102.5 kg
Nick Spitaliere,07/18/2020,98.66,707.5 kg,81.8 kg
Nicholas Tadrick,07/09/2021,98.65,752.5 kg,92.6 kg
Matt Baller,12/06/2014,98.63,902.5 kg,139.1 kg
Kareem Browne,03/03/2018,98.62,667.5 kg,73.1 kg
Jason Coonan,06/08/2022,98.62,772.5 kg,97.8 kg
Tracy Moody,03/03/2019,98.62,745 kg,90.8 kg
Tracy Curry,07/21/2018,98.60,790 kg,102.6 kg
Constantine Vasilopoulos,04/13/2023,98.60,702.5 kg,80.8 kg
Besim Muminovic,01/07/2023,98.59,737.5 kg,89 kg
Sebastian Baytan,06/11/2023,98.59,737.5 kg,89 kg
Quentin White,05/20/2023,98.58,772.5 kg,97.9 kg
SU HAN LEE,04/29/2023,98.57,795 kg,104.1 kg
Andre Earle,10/16/2019,98.56,795 kg,104.1 kg
Evan Hawk,04/13/2023,98.56,675.5 kg,74.9 kg
Blake Wright,08/01/2020,98.55,790 kg,102.7 kg
Joseph Jordan,06/22/2019,98.55,667.5 kg,73.2 kg
LS McLain,08/03/2012,98.55,738 kg,89.2 kg
Quinton Briggs,04/13/2023,98.53,775 kg,98.7 kg
Donald Bigham,10/13/2016,98.52,707.5 kg,82 kg
Nathaniel Hancock,04/29/2023,98.52,775 kg,98.7 kg
Brock Wetzlich,04/13/2023,98.50,812.5 kg,109.2 kg
McLain III LS,11/06/2013,98.49,747.5 kg,91.7 kg
Alex Hall,10/16/2022,98.48,700 kg,80.4 kg
Lawrence Jones,04/13/2023,98.47,765 kg,96.2 kg
Edward Tadman,11/20/2021,98.47,670 kg,73.9 kg
Tianyu Xiao,03/04/2023,98.47,700 kg,80.4 kg
Gaoussou Coulibaly,04/15/2023,98.47,735 kg,88.6 kg
Darius Kellar,04/16/2016,98.46,792.5 kg,103.6 kg
Brian Los Kamp,03/02/2019,98.44,792.5 kg,103.7 kg
Koda Gibson,03/18/2023,98.43,770 kg,97.6 kg
Samuel Friedrich,05/27/2023,98.42,735 kg,88.7 kg
Keigan Dunn,07/28/2018,98.41,727.5 kg,86.9 kg
Cody Hartman,04/29/2023,98.41,675 kg,75 kg
Stephen Peszynski,05/06/2017,98.40,710 kg,82.8 kg
Zach Taylor,03/30/2022,98.40,637.5 kg,67.3 kg
Kyle Chu,12/10/2022,98.39,772.5 kg,98.3 kg
Jesse Kurisko,12/04/2021,98.39,742.5 kg,90.6 kg
Ryan North,03/18/2023,98.38,777.5 kg,99.7 kg
Samuel Jansen,10/11/2018,98.37,750 kg,92.5 kg
Ray Forrester,12/17/2016,98.37,795 kg,104.5 kg
Clifton Pho,03/03/2018,98.36,635 kg,66.8 kg
Alex Schliesmann,01/25/2020,98.36,755 kg,93.8 kg
Ben Miller,06/17/2017,98.32,665 kg,73 kg
Sawyer Yandell,08/07/2021,98.32,665 kg,73 kg
Lenard Jones,10/13/2016,98.28,622.5 kg,64.4 kg
Dakota Snyder,11/05/2022,98.27,812.5 kg,109.8 kg
Jackson Jaeger,12/03/2022,98.25,705 kg,81.9 kg
Michael Loncharich,03/01/2013,98.25,705 kg,81.9 kg
Joshua Brame,02/25/2023,98.25,732.5 kg,88.4 kg
Richard Yun,11/18/2018,98.24,707.5 kg,82.5 kg
Samuel Tomlin,01/19/2019,98.24,707.5 kg,82.5 kg
Stefan Kraus,06/17/2023,98.24,695 kg,79.7 kg
Gregory Wunrow,04/08/2023,98.22,770 kg,98 kg
Santiago Ramirez,11/05/2022,98.22,740 kg,90.3 kg
Isaac Salas,12/14/2019,98.22,750 kg,92.8 kg
Juneau Catalano,04/22/2023,98.18,737.5 kg,89.8 kg
Nam Do,12/08/2017,98.18,665 kg,73.2 kg
Greg Hairston,01/14/2023,98.18,770 kg,98.1 kg
Steve Mann,08/15/2016,98.17,1015.5 kg,119.9 kg
Kevin Nguyen,03/03/2018,98.17,667.5 kg,73.7 kg
Andrew Hamel,11/05/2022,98.17,770 kg,98.1 kg
Mathew Tinson,08/13/2022,98.16,705 kg,82.1 kg
Lance London,04/22/2023,98.15,772.5 kg,98.8 kg
Anthony Stavenski,03/23/2013,98.15,792.5 kg,104.3 kg
Collin Dunnam,05/12/2018,98.14,735 kg,89.2 kg
Donovan Bennett,01/07/2023,98.14,850 kg,121.9 kg
Eric Johnson,11/14/2015,98.13,727.5 kg,87.4 kg
Jesse Rodriguez,03/06/2021,98.13,627.5 kg,65.6 kg
Samuel Kinard,02/25/2023,98.13,730 kg,88 kg
Alex Sydor,04/08/2021,98.12,707.5 kg,82.7 kg
Tim Hansen,05/06/2023,98.11,775 kg,99.6 kg
Tyler Dutremble,06/02/2019,98.09,697.5 kg,80.5 kg
Jeffrey Gonzalez,03/26/2022,98.09,732.5 kg,88.7 kg
Brock Hertrampf,10/16/2019,98.08,892.5 kg,137.2 kg
Dalton Lacoe,06/06/2018,98.06,559 kg,52.9 kg
Derek LoGrande,06/08/2022,98.05,667.5 kg,73.9 kg
McVay Stockwell,03/26/2022,98.05,670 kg,74.5 kg
Hamza Ahmed,12/10/2022,98.05,775 kg,99.7 kg
Michael Bress,03/19/2022,98.04,737.5 kg,90 kg
Kadrin Cabrera,12/03/2022,98.04,735 kg,89.4 kg
Eriek Nickson,06/22/2012,98.02,787.5 kg,73.5 kg
E.J. Thomas,04/09/2022,98.01,735 kg,89.4 kg
Daevon Mcfarlane,10/16/2019,98.00,907.5 kg,143.4 kg
Noel Trevino,10/11/2018,98.00,707.5 kg,82.9 kg
Antonio Tran,10/22/2022,98.00,800 kg,106.8 kg
Quan Myers,02/25/2023,97.98,735 kg,89.5 kg
Shane Sepac,07/28/2018,97.98,792.5 kg,104.7 kg
Jean-Louis Nguyen,10/30/2021,97.98,700 kg,81.2 kg
Zain Ahmed,10/22/2022,97.97,665 kg,73.5 kg
Daniel Remulla,03/04/2017,97.96,627.5 kg,65.8 kg
Jamie McDougal,01/14/2012,97.94,725.7 kg,87.3 kg
Kim Wanho,12/17/2022,97.93,732.5 kg,89 kg
Ethan Stone,04/13/2023,97.93,732.5 kg,89 kg
Abriel Poston,05/18/2019,97.93,702.5 kg,81.9 kg
Zack Berezay,02/25/2023,97.90,775 kg,100 kg
Michael Simonetti,04/02/2022,97.87,800 kg,107.1 kg
Matthew Cronin,11/06/2021,97.86,872.5 kg,130.5 kg
Timothy DeHaas,10/16/2019,97.84,665 kg,73.7 kg
Evan Glasgold,10/16/2019,97.83,625 kg,65.5 kg
Jeffrey Thiele,06/17/2017,97.82,820 kg,113.2 kg
Kyle Nowak,03/26/2022,97.82,630 kg,66.5 kg
Dan Holly,06/24/2018,97.82,735 kg,89.8 kg
Matthew Middleton,09/10/2022,97.81,760 kg,96.2 kg
Jacob Combs,01/29/2023,97.81,732.5 kg,89.2 kg
Luis Ortuno,01/22/2017,97.80,685 kg,78.1 kg
James Thorne,10/22/2022,97.80,700 kg,81.5 kg
Tyree Davis,02/16/2020,97.80,700 kg,81.5 kg
Andres Ramos,10/16/2019,97.78,625 kg,65.6 kg
Evan Leduc,08/07/2021,97.78,702.5 kg,82.1 kg
Orlando McGriff,08/31/2019,97.78,742.5 kg,91.8 kg
Randall ,12/06/2014,97.77,735 kg,89.9 kg
Jordan Glenn,06/08/2022,97.77,735 kg,89.9 kg
Johnathan Song,02/19/2023,97.76,732.5 kg,89.3 kg
Mason Sarra,04/13/2023,97.76,702.5 kg,82.1 kg
Leon Oyaro,12/07/2019,97.75,780 kg,101.7 kg
Lawrence Chambers,06/25/2022,97.75,697.5 kg,81 kg
David Charles,10/08/2022,97.70,732.5 kg,89.4 kg
AJ RODRIGUEZ,11/05/2016,97.68,700 kg,81.7 kg
Chris Tran,11/15/2020,97.67,670 kg,58.9 kg
Deontay Walker,08/21/2021,97.67,790 kg,104.7 kg
Miles Gunter,01/25/2020,97.67,652.5 kg,71.3 kg
David Alberts,07/23/2016,97.65,695 kg,80.6 kg
De'Quinton Gie,03/06/2022,97.64,700 kg,81.8 kg
Michael Hedlesky,02/28/2014,97.64,825 kg,115.2 kg
Caleb Happel,01/20/2018,97.63,740 kg,91.4 kg
Gabriel Malone,06/10/2017,97.63,697.5 kg,81.2 kg
Jonathan Lavoie,10/31/2020,97.62,700 kg,81.8 kg
Michael Garozzo,10/10/2017,97.61,787.5 kg,104.1 kg
Zachary Vanderhoff,04/13/2023,97.61,695 kg,80.7 kg
Angelo Alfano,11/06/2021,97.61,615 kg,63.8 kg
Alexander Goodwin,07/06/2019,97.58,835 kg,118.6 kg
Carrington Amadi,11/05/2022,97.57,877.5 kg,133.3 kg
Trevor Philips Brown,02/04/2023,97.57,725 kg,87.8 kg
Collyn Richardson,03/06/2020,97.57,907.5 kg,145 kg
Pedro Rabello,07/30/2022,97.57,680 kg,77.4 kg
Alex Hong,11/19/2022,97.55,700 kg,81.9 kg
Jason Peterson,09/09/2018,97.54,702.5 kg,82.5 kg
Johnlou Bernard Reyes,04/13/2023,97.54,802.5 kg,108.6 kg
Sevon Bumper,11/13/2022,97.54,732.5 kg,89.7 kg
Nicholas Tylutki,03/01/2013,97.53,787.5 kg,104.3 kg
Robbie Karstendiek,10/13/2016,97.53,697.5 kg,81.4 kg
Devon Fletcher,12/03/2022,97.53,730 kg,89.1 kg
Cardell Oliver,12/12/2015,97.53,780 kg,102.2 kg
Mason Mitchell,03/30/2023,97.53,765 kg,98.1 kg
Jack Nguyen,04/13/2023,97.52,730 kg,89.1 kg
Tyler Wang,03/06/2022,97.51,760 kg,96.8 kg
Johnathan Norcott,03/04/2017,97.49,785 kg,103.7 kg
Rolando Verduzco,04/14/2018,97.48,730 kg,89.2 kg
Hunter Fryman,02/08/2020,97.48,782.5 kg,103 kg
James Bryant,11/06/2021,97.48,702.5 kg,82.6 kg
Jonah Liwag,07/03/2022,97.46,755 kg,95.6 kg
Shaheed Bryant,06/14/2021,97.46,579.5 kg,57.2 kg
Joker ,02/28/2015,97.45,739.4 kg,91.6 kg
Motti Goldberger,03/26/2022,97.45,627.5 kg,66.5 kg
Kyle Morris,03/11/2023,97.45,667.5 kg,74.8 kg
Kevin Yeboah,11/05/2022,97.45,762.5 kg,97.6 kg
Jake Needham,08/25/2018,97.44,742.5 kg,92.4 kg
Vanden Grube,10/27/2019,97.44,787.5 kg,104.5 kg
Kris Hunt,11/08/2014,97.43,732.5 kg,89.9 kg
Osmar Franco-Barrios,04/29/2023,97.42,667.5 kg,74.9 kg
Chi Kwon Jung,06/03/2023,97.40,665 kg,74.3 kg
Johnathan Tentoni,11/14/2020,97.39,735 kg,90.6 kg
Matthew Thomas,04/13/2023,97.39,755 kg,95.7 kg
Everardo Crispin,04/13/2023,97.38,627.5 kg,66.6 kg
Benjamin Lawrence,12/17/2022,97.38,732.5 kg,90 kg
Mike Loncharich,08/03/2012,97.37,700 kg,82.2 kg
Varron Reed,11/19/2022,97.36,757.5 kg,96.5 kg
Luke Nilo,03/07/2020,97.35,777.5 kg,101.9 kg
Ricardo Gomez,10/22/2022,97.35,762.5 kg,97.8 kg
Jean-Luc Badon,07/07/2017,97.35,785 kg,104 kg
Jakweli Gist,03/25/2023,97.34,715 kg,85.8 kg
Angel Moreno,03/02/2019,97.34,662.5 kg,73.9 kg
Dwight Simmons,08/06/2022,97.31,827.5 kg,116.9 kg
Nikolas Williams,04/22/2023,97.30,727.5 kg,88.9 kg
Joshua Longoria,03/11/2023,97.29,900 kg,143 kg
Kasey Pham,12/10/2022,97.29,665 kg,74.5 kg
Logan Biedermann,04/13/2023,97.28,692.5 kg,80.6 kg
Abram Guerra,04/07/2017,97.28,895 kg,92.6 kg
Andre Cancilla,05/13/2023,97.27,770 kg,100 kg
Leandro Gerard Faraon,06/08/2022,97.27,627.5 kg,66.7 kg
Julian Posas,05/23/2021,97.27,702.5 kg,83 kg
Kyle Coogan,03/08/2020,97.27,662.5 kg,74 kg
Nicklas Gilmour,04/13/2023,97.26,730 kg,89.6 kg
Tomas Sarik,03/03/2018,97.25,1005 kg,119.6 kg
Aaron Martinez,06/03/2023,97.25,695 kg,81.3 kg
Mason Lopez,03/13/2021,97.21,730 kg,89.7 kg
Jeffrey Chavez,06/08/2022,97.20,695 kg,81.3 kg
Aj Alvarez,04/07/2017,97.19,787.5 kg,105.1 kg
Jeff Hanselman,04/15/2017,97.19,700 kg,82.5 kg
Jackson Jackson,04/22/2023,97.19,786.5 kg,104.8 kg
Michael Pennacchia Jr,10/10/2017,97.17,782.5 kg,103.7 kg
Aaron Pomerantz,04/07/2017,97.17,832.5 kg,81.5 kg
Kyle Hunt,08/18/2018,97.17,660 kg,73.6 kg
Derek Gove,06/01/2014,97.14,700 kg,82.6 kg
Kevin Cherry,02/25/2023,97.14,717.5 kg,86.8 kg
Sean Kishel,02/05/2023,97.13,760 kg,97.6 kg
Paul Beck,09/10/2022,97.12,727.5 kg,89.3 kg
Saimon Haddad,04/13/2023,97.12,767.5 kg,99.6 kg
Gabriel Zakaryan,08/13/2022,97.12,800 kg,108.9 kg
Jorden Flowers,04/29/2023,97.12,722.5 kg,88 kg
Dianxiong Lin,03/04/2023,97.12,665 kg,74.8 kg
Ray Bowring,11/19/2022,97.11,900 kg,143.7 kg
Judah Jones,10/22/2022,97.10,767.5 kg,99.7 kg
Duncan Hundley,04/08/2021,97.09,832.5 kg,119.1 kg
Kyle White,04/13/2023,97.08,727.5 kg,89.3 kg
Niels Levy-Thiebaut,04/13/2023,97.08,727.5 kg,89.3 kg
Craig Malkowicz,10/10/2017,97.08,727.5 kg,89.3 kg
Nicholas Larson,10/01/2022,97.07,730 kg,90 kg
Richard Shorts,03/26/2022,97.07,695 kg,81.5 kg
Zachary Watson,07/23/2022,97.06,717.5 kg,86.9 kg
Logan Jones,04/01/2023,97.06,720 kg,87.5 kg
Alex Beaufort,12/03/2022,97.06,660 kg,73.8 kg
Austin Miller,10/02/2021,97.05,730 kg,90 kg
Anthony Scolaro,01/01/2012,97.05,730 kg,90 kg
Darious Stokes,05/20/2023,97.04,622.5 kg,66 kg
Noah Mathes,12/03/2022,97.02,762.5 kg,98.5 kg
Chad Wilde,05/04/2019,97.01,740 kg,92.6 kg
Chase Chapa,11/19/2022,97.01,582.5 kg,58.3 kg
Luke Graham,03/03/2017,96.99,775 kg,102 kg
Mirwaise Masroor,10/16/2019,96.99,762.5 kg,98.6 kg
Thomas Soto,04/19/2018,96.98,617.5 kg,65.1 kg
Danny Lewis,10/16/2019,96.97,775 kg,102.1 kg
Jeff Thiele,01/01/2013,96.96,800 kg,109.3 kg
Michael Vargas,03/11/2023,96.95,690 kg,80.6 kg
Frederick Hannie,06/23/2018,96.95,772.5 kg,101.4 kg
Jared Hernandez,07/31/2021,96.95,690 kg,80.6 kg
Maxon Shethar,03/26/2022,96.94,885 kg,138.3 kg
Antonio Yharbrough,02/11/2023,96.93,847.5 kg,124.6 kg
Marvin Cujcuj,05/06/2023,96.93,660 kg,74 kg
Brody Littrell,04/13/2023,96.93,697.5 kg,82.4 kg
Ryan Patterson,02/15/2020,96.92,812.5 kg,113.2 kg
George Nomah,05/20/2023,96.91,722.5 kg,88.4 kg
Jacob Bradsher,10/13/2016,96.90,727.5 kg,89.7 kg
James Pearson,02/20/2016,96.90,827.5 kg,118 kg
Marcos Chavez,12/03/2022,96.89,652.5 kg,72.4 kg
Ivan Arroyo,12/10/2022,96.89,627.5 kg,67.2 kg
Joshua Earnest,10/10/2017,96.87,817.5 kg,114.9 kg
Brandon Rojo,09/24/2022,96.86,695 kg,81.9 kg
Wesley Allen,03/05/2022,96.86,725 kg,89.1 kg
Tyler Tai Nguyen,10/15/2022,96.85,690 kg,80.8 kg
Guillermo Casal,04/10/2021,96.83,732.5 kg,91 kg
Atomu Wakamatsu,06/08/2022,96.83,692.5 kg,81.4 kg
Troy Thompson,03/11/2023,96.82,727.5 kg,89.8 kg
RD Caldwell Jr,11/09/2013,96.81,740 kg,93 kg
Ethan Winn,11/12/2022,96.81,750 kg,95.6 kg
Ryan Kiecker,10/10/2017,96.81,697.5 kg,82.6 kg
Jared Zapanta,04/13/2023,96.80,660 kg,74.1 kg
Jean Laguerre,05/01/2021,96.79,825 kg,117.5 kg
Wascar Carpio,03/06/2022,96.78,590 kg,60 kg
Pham Gia Phuc Doan,10/22/2022,96.78,687.5 kg,80.3 kg
Michael Brinson,12/02/2017,96.78,907.5 kg,148.1 kg
Nicholas Farison,04/27/2019,96.77,657.5 kg,73.7 kg
Walter Oro Abrahao,04/29/2023,96.76,762.5 kg,99.1 kg
Justin Whitten,04/13/2019,96.74,782.5 kg,104.7 kg
Ian Macena,12/03/2022,96.74,727.5 kg,90 kg
Adam Cecchetto,10/08/2022,96.74,752.5 kg,96.4 kg
Alex Mostacero,11/05/2022,96.74,792.5 kg,107.6 kg
Joe Morrow,12/02/2017,96.74,607.5 kg,63.4 kg
Michael Walker,10/10/2017,96.73,730 kg,90.6 kg
